text,label
"MySQL, Java, PostgreSQL",0
"Spring Boot, PostgreSQL, MySQL",0
"Java, Spring Boot, PostgreSQL",0
"PostgreSQL, REST APIs, MySQL",0
"Java, Spring Boot, MySQL",0
"REST APIs, Spring Boot, MySQL",0
"Spring Boot, Java, PostgreSQL",0
"REST APIs, Java, PostgreSQL",0
"PostgreSQL, Java, Spring Boot",0
"Java, REST APIs, PostgreSQL",0
"PostgreSQL, MySQL, REST APIs",0
"Spring Boot, PostgreSQL, MySQL",0
"REST APIs, MySQL, Spring Boot",0
"PostgreSQL, MySQL, Spring Boot",0
"REST APIs, Java, Spring Boot",0
"PostgreSQL, MySQL, REST APIs",0
"MySQL, REST APIs, PostgreSQL",0
"PostgreSQL, Spring Boot, Java",0
"MySQL, Spring Boot, Java",0
"MySQL, Java, Spring Boot",0
"REST APIs, Spring Boot, PostgreSQL",0
"MySQL, Spring Boot, PostgreSQL",0
"Java, Spring Boot, PostgreSQL",0
"REST APIs, Java, Spring Boot",0
"PostgreSQL, Java, REST APIs",0
"Spring Boot, MySQL, PostgreSQL",0
"Spring Boot, REST APIs, PostgreSQL",0
"Spring Boot, PostgreSQL, MySQL",0
"REST APIs, MySQL, PostgreSQL",0
"MySQL, Java, PostgreSQL",0
"MySQL, Java, PostgreSQL",0
"Java, Spring Boot, PostgreSQL",0
"PostgreSQL, Spring Boot, REST APIs",0
"MySQL, Java, Spring Boot",0
"MySQL, PostgreSQL, Spring Boot",0
"PostgreSQL, MySQL, Java",0
"PostgreSQL, MySQL, Java",0
"REST APIs, PostgreSQL, MySQL",0
"MySQL, REST APIs, PostgreSQL",0
"MySQL, REST APIs, Java",0
"Java, REST APIs, PostgreSQL",0
"REST APIs, PostgreSQL, Java",0
"Spring Boot, REST APIs, PostgreSQL",0
"Spring Boot, MySQL, Java",0
"REST APIs, MySQL, PostgreSQL",0
"MySQL, Java, PostgreSQL",0
"Spring Boot, MySQL, REST APIs",0
"REST APIs, PostgreSQL, Java",0
"Java, MySQL, PostgreSQL",0
"REST APIs, Java, PostgreSQL",0
"PostgreSQL, MySQL, Java",0
"Spring Boot, REST APIs, PostgreSQL",0
"Java, REST APIs, Spring Boot",0
"PostgreSQL, REST APIs, Spring Boot",0
"MySQL, Spring Boot, Java",0
"REST APIs, Spring Boot, MySQL",0
"Java, PostgreSQL, Spring Boot",0
"PostgreSQL, MySQL, Java",0
"REST APIs, Spring Boot, PostgreSQL",0
"REST APIs, Java, Spring Boot",0
"Spring Boot, REST APIs, MySQL",0
"REST APIs, Java, PostgreSQL",0
"MySQL, Spring Boot, PostgreSQL",0
"REST APIs, Java, PostgreSQL",0
"REST APIs, PostgreSQL, Spring Boot",0
"Spring Boot, REST APIs, MySQL",0
"Java, REST APIs, PostgreSQL",0
"Java, MySQL, Spring Boot",0
"PostgreSQL, Spring Boot, Java",0
"PostgreSQL, Spring Boot, REST APIs",0
"REST APIs, PostgreSQL, Spring Boot",0
"PostgreSQL, Java, MySQL",0
"Java, PostgreSQL, REST APIs",0
"REST APIs, PostgreSQL, MySQL",0
"REST APIs, PostgreSQL, Spring Boot",0
"MySQL, Java, PostgreSQL",0
"PostgreSQL, Spring Boot, MySQL",0
"REST APIs, Java, MySQL",0
"Java, MySQL, REST APIs",0
"REST APIs, Java, Spring Boot",0
"PostgreSQL, Java, REST APIs",0
"MySQL, Java, REST APIs",0
"Java, PostgreSQL, REST APIs",0
"PostgreSQL, Java, MySQL",0
"PostgreSQL, MySQL, REST APIs",0
"REST APIs, Java, MySQL",0
"MySQL, REST APIs, Spring Boot",0
"Java, MySQL, Spring Boot",0
"MySQL, Spring Boot, Java",0
"MySQL, PostgreSQL, Spring Boot",0
"PostgreSQL, REST APIs, Java",0
"Java, Spring Boot, PostgreSQL",0
"Java, MySQL, REST APIs",0
"Spring Boot, PostgreSQL, MySQL",0
"MySQL, PostgreSQL, Spring Boot",0
"Java, REST APIs, PostgreSQL",0
"PostgreSQL, MySQL, REST APIs",0
"PostgreSQL, REST APIs, MySQL",0
"REST APIs, MySQL, Spring Boot",0
"MySQL, Java, REST APIs",0
"React, Angular, Responsive design",1
"React, CSS, Responsive design",1
"TypeScript, Responsive design, React",1
"Angular, React, Responsive design",1
"Angular, Responsive design, CSS",1
"Angular, CSS, Responsive design",1
"CSS, TypeScript, React",1
"React, CSS, Angular",1
"Responsive design, React, Angular",1
"Angular, TypeScript, Responsive design",1
"React, CSS, Angular",1
"Responsive design, CSS, TypeScript",1
"CSS, Angular, Responsive design",1
"Responsive design, React, Angular",1
"Angular, Responsive design, CSS",1
"React, TypeScript, Angular",1
"TypeScript, CSS, Angular",1
